"","Assay","Animal","species","animal_id","Tissue","Dilutions","Wells","cutoff","date","rxn","MPR","MS","TtT","RAF","crossed","AUC","ID","ELISA","Genotype"
"1","NQ","M1","M","1","BR",-2,"E03",24,2024-06-17,"6-17-24_ZS_Moose1_BR_PosDilution",11.0764119601329,1.72240679217423,13.9523255813953,0.0716726393866156,TRUE,115.685008305648,"16-P138",TRUE,"KK 109"
"2","NQ","M1","M","1","BR",-2,"F03",24,2024-06-17,"6-17-24_ZS_Moose1_BR_PosDilution",11.7657512116317,1.86465625560941,15.1816838995569,0.0658688460790037,TRUE,106.973142164782,"16-P138",TRUE,"KK 109"
"3","NQ","M1","M","1","BR",-2,"G03",24,2024-06-17,"6-17-24_ZS_Moose1_BR_PosDilution",2.48397976391231,0.339516582349635,24,0.0416666666666667,FALSE,30.7765598650928,"16-P138",TRUE,"KK 109"
"4","NQ","M1","M","1","BR",-2,"H03",24,2024-06-17,"6-17-24_ZS_Moose1_BR_PosDilution",10.4226804123711,1.74684994272623,19.288315629742,0.0518448587837306,TRUE,65.3981958762886,"16-P138",TRUE,"KK 109"
"5","NQ","M1","M","1","BR",-3,"E04",24,2024-06-17,"6-17-24_ZS_Moose1_BR_PosDilution",9.83210603829161,1.83930616920308,8.00852698650675,0.124866907695368,TRUE,157.977724594993,"16-P138",TRUE,"KK 109"
"6","NQ","M1","M","1","BR",-3,"F04",24,2024-06-17,"6-17-24_ZS_Moose1_BR_PosDilution",10.6732223903177,2.05816103546815,7.03401122019635,0.142166392502866,TRUE,179.494515885023,"16-P138",TRUE,"KK 109"
"7","NQ","M1","M","1","BR",-3,"G04",24,2024-06-17,"6-17-24_ZS_Moose1_BR_PosDilution",10.2106870229008,1.96709075487701,7.07259450171821,0.141390829031278,TRUE,172.784541984733,"16-P138",TRUE,"KK 109"
"8","NQ","M1","M","1","BR",-3,"H04",24,2024-06-17,"6-17-24_ZS_Moose1_BR_PosDilution",10.5642276422764,2.05275519421861,7.11651816312543,0.140518154675913,TRUE,178.898780487805,"16-P138",TRUE,"KK 109"
"9","NQ","M1","M","1","BR",-4,"E05",24,2024-06-17,"6-17-24_ZS_Moose1_BR_PosDilution",5.80594900849858,1.11268492288322,22.2391304347826,0.0449657869012708,TRUE,37.0671033994334,"16-P138",TRUE,"KK 109"
"10","NQ","M1","M","1","BR",-4,"F05",24,2024-06-17,"6-17-24_ZS_Moose1_BR_PosDilution",8.44444444444444,1.4100064977258,16.2278009535161,0.0616226439345948,TRUE,78.4106359649123,"16-P138",TRUE,"KK 109"
"11","NQ","M1","M","1","BR",-4,"G05",24,2024-06-17,"6-17-24_ZS_Moose1_BR_PosDilution",7.52716593245228,1.2873225648556,18.7181719260065,0.0534240204627369,TRUE,57.8397577092511,"16-P138",TRUE,"KK 109"
"12","NQ","M1","M","1","BR",-4,"H05",24,2024-06-17,"6-17-24_ZS_Moose1_BR_PosDilution",10.0388639760837,1.79471848530144,10.6470994475138,0.0939222935720309,TRUE,136.921524663677,"16-P138",TRUE,"KK 109"
"13","NQ","M1","M","1","BR",-5,"E06",24,2024-06-17,"6-17-24_ZS_Moose1_BR_PosDilution",2.00147710487445,0.0298703430165764,24,0.0416666666666667,FALSE,29.510893648449,"16-P138",TRUE,"KK 109"
"14","NQ","M1","M","1","BR",-5,"F06",24,2024-06-17,"6-17-24_ZS_Moose1_BR_PosDilution",7.00148588410104,1.25606736007925,20.7311401020987,0.0482366138608443,TRUE,46.5027860326894,"16-P138",TRUE,"KK 109"
"15","NQ","M1","M","1","BR",-5,"G06",24,2024-06-17,"6-17-24_ZS_Moose1_BR_PosDilution",1.92405063291139,0.0330520393811533,24,0.0416666666666667,FALSE,29.2280458860759,"16-P138",TRUE,"KK 109"
"16","NQ","M1","M","1","BR",-5,"H06",24,2024-06-17,"6-17-24_ZS_Moose1_BR_PosDilution",5.26168224299065,1.07338179300796,23.0753610108303,0.043336266744891,TRUE,33.0695093457944,"16-P138",TRUE,"KK 109"
"17","NQ","M1","M","1","BR",-6,"E07",24,2024-06-17,"6-17-24_ZS_Moose1_BR_PosDilution",1.8841642228739,0.0276963180188987,24,0.0416666666666667,FALSE,28.6094208211144,"16-P138",TRUE,"KK 109"
"18","NQ","M1","M","1","BR",-6,"F07",24,2024-06-17,"6-17-24_ZS_Moose1_BR_PosDilution",1.81668946648427,0.041343669250646,24,0.0416666666666667,FALSE,28.796511627907,"16-P138",TRUE,"KK 109"
"19","NQ","M1","M","1","BR",-6,"G07",24,2024-06-17,"6-17-24_ZS_Moose1_BR_PosDilution",1.80926430517711,0.0284589766878595,24,0.0416666666666667,FALSE,27.3070504087194,"16-P138",TRUE,"KK 109"
"20","NQ","M1","M","1","BR",-6,"H07",24,2024-06-17,"6-17-24_ZS_Moose1_BR_PosDilution",2.0231124807396,0.0338983050847458,24,0.0416666666666667,FALSE,28.5710708782743,"16-P138",TRUE,"KK 109"
"21","NQ","M1","M","1","BR",-7,"E08",24,2024-06-17,"6-17-24_ZS_Moose1_BR_PosDilution",1.90634441087613,0.0308828465928164,24,0.0416666666666667,FALSE,28.9452416918429,"16-P138",TRUE,"KK 109"
"22","NQ","M1","M","1","BR",-7,"F08",24,2024-06-17,"6-17-24_ZS_Moose1_BR_PosDilution",1.90853658536585,0.0308265582655826,24,0.0416666666666667,FALSE,28.7715320121951,"16-P138",TRUE,"KK 109"
"23","NQ","M1","M","1","BR",-7,"G08",24,2024-06-17,"6-17-24_ZS_Moose1_BR_PosDilution",1.95110410094637,0.0301437083771469,24,0.0416666666666667,FALSE,28.6378154574132,"16-P138",TRUE,"KK 109"
"24","NQ","M1","M","1","BR",-7,"H08",24,2024-06-17,"6-17-24_ZS_Moose1_BR_PosDilution",1.80513595166163,0.0245048674051695,24,0.0416666666666667,FALSE,28.2921072507553,"16-P138",TRUE,"KK 109"
"25","NQ","M1","M","1","BR",-8,"E09",24,2024-06-17,"6-17-24_ZS_Moose1_BR_PosDilution",1.90726429675425,0.0250729864331101,24,0.0416666666666667,FALSE,28.7498068006183,"16-P138",TRUE,"KK 109"
"26","NQ","M1","M","1","BR",-8,"F09",24,2024-06-17,"6-17-24_ZS_Moose1_BR_PosDilution",1.90045941807044,0.0279053939084567,24,0.0416666666666667,FALSE,28.979517611026,"16-P138",TRUE,"KK 109"
"27","NQ","M1","M","1","BR",-8,"G09",24,2024-06-17,"6-17-24_ZS_Moose1_BR_PosDilution",1.94637223974763,0.0318962495618647,24,0.0416666666666667,FALSE,28.8921529968454,"16-P138",TRUE,"KK 109"
"28","NQ","M1","M","1","BR",-8,"H09",24,2024-06-17,"6-17-24_ZS_Moose1_BR_PosDilution",1.89901823281907,0.0654511453950444,24,0.0416666666666667,FALSE,30.0683730715288,"16-P138",TRUE,"KK 109"
"29","NQ","M1","M","1","BR",-9,"E10",24,2024-06-17,"6-17-24_ZS_Moose1_BR_PosDilution",2.04592592592593,0.0289711934156379,24,0.0416666666666667,FALSE,29.2066666666666,"16-P138",TRUE,"KK 109"
"30","NQ","M1","M","1","BR",-9,"F10",24,2024-06-17,"6-17-24_ZS_Moose1_BR_PosDilution",2.19414483821263,0.0318438623523369,24,0.0416666666666667,FALSE,29.6255778120185,"16-P138",TRUE,"KK 109"
"31","NQ","M1","M","1","BR",-9,"G10",24,2024-06-17,"6-17-24_ZS_Moose1_BR_PosDilution",1.90764331210191,0.0304317055909412,24,0.0416666666666667,FALSE,29.3837579617834,"16-P138",TRUE,"KK 109"
"32","NQ","M1","M","1","BR",-9,"H10",24,2024-06-17,"6-17-24_ZS_Moose1_BR_PosDilution",1.85426356589147,0.0334194659776055,24,0.0416666666666667,FALSE,28.7558139534884,"16-P138",TRUE,"KK 109"
"33","NQ","M1","M","1","BR",-10,"E11",24,2024-06-17,"6-17-24_ZS_Moose1_BR_PosDilution",1.93471337579618,0.0343241330502477,24,0.0416666666666667,FALSE,29.3861464968153,"16-P138",TRUE,"KK 109"
"34","NQ","M1","M","1","BR",-10,"F11",24,2024-06-17,"6-17-24_ZS_Moose1_BR_PosDilution",1.93042071197411,0.0316432937792161,24,0.0416666666666667,FALSE,29.7354368932039,"16-P138",TRUE,"KK 109"
